Player,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Adrián\Adrian,25,1.56,78,53,70.5,5,4,7,6,37.5,3,2,0,1,0,Matches
Ryan Allsop\Ryan-Allsop,1,1,5,4,80,0,1,0,0,0,0,0,0,0,,Matches
Asmir Begovi?\Asmir-Begovic,5,2.5,6,1,16.7,1,0,1,0,0,0,0,0,0,,Matches
Artur Boruc\Artur-Boruc,63,1.8,176,113,65.3,11,9,15,9,25.7,4,2,2,0,50,Matches
Claudio Bravo\Claudio-Bravo,26,1.19,60,34,56.7,12,5,5,5,22.7,1,0,1,0,100,Matches
Jack Butland\Jack-Butland,8,1.6,24,16,66.7,1,2,2,2,40,0,0,0,0,,Matches
Willy Caballero\Willy-Caballero,13,0.81,45,32,75.6,11,4,1,6,37.5,4,2,0,2,0,Matches
Joel Castro Pereira\Joel-Castro-Pereira,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,Matches
Petr ?ech\Petr-Cech,37,1.08,150,113,81.3,22,5,7,12,34.3,9,9,0,0,0,Matches
Thibaut Courtois\Thibaut-Courtois,28,0.78,99,71,73.7,29,3,4,16,44.4,2,2,0,0,0,Matches
?ukasz Fabia?ski\Lukasz-Fabianski,69,1.86,174,105,63.8,11,5,21,8,21.6,8,6,1,1,14.3,Matches
Adam Federici\Adam-Federici,3,1.5,8,5,62.5,1,0,1,1,50,1,0,0,1,,Matches
Fraser Forster\Fraser-Forster,48,1.26,130,82,67.7,12,10,16,14,36.8,9,6,1,2,14.3,Matches
Ben Foster\Ben-Foster,51,1.34,160,109,70,12,9,17,6,15.8,3,3,0,0,0,Matches
David de Gea\David-de-Gea,29,0.83,103,74,75.7,16,14,5,14,40,4,4,0,0,0,Matches
Shay Given\Shay-Given,14,2.8,33,19,60.6,0,1,4,0,0,2,1,1,0,50,Matches
Heurelho Gomes\Heurelho-Gomes,64,1.73,177,113,65.5,11,7,19,6,15.8,4,3,1,0,25,Matches
Lee Grant\Lee-Grant,34,1.21,123,89,72.4,10,8,10,9,32.1,0,0,0,0,,Matches
Brad Guzan\Brad-Guzan,17,1.7,53,36,69.8,2,3,5,3,30,2,1,0,1,0,Matches
Tom Heaton\Tom-Heaton,48,1.37,189,141,76.7,11,7,17,10,28.6,5,4,1,0,20,Matches
Wayne Hennessey\Wayne-Hennessey,46,1.59,133,87,66.9,9,3,17,7,24.1,2,2,0,0,0,Matches
Eldin Jakupovi?\Eldin-Jakupovic,36,1.64,107,71,70.1,8,4,10,5,22.7,7,4,2,1,33.3,Matches
Loris Karius\Loris-Karius,12,1.2,32,20,65.6,6,3,1,3,30,1,1,0,0,0,Matches
Hugo Lloris\Hugo-Lloris,24,0.72,101,77,77.2,24,5,4,15,44.1,1,1,0,0,0,Matches
Steve Mandanda\Steve-Mandanda,17,1.89,43,26,60.5,3,2,4,0,0,0,0,0,0,,Matches
Vito Mannone\Vito-Mannone,19,2.11,59,40,71.2,1,2,6,2,22.2,2,2,0,0,0,Matches
David Marshall\David-Marshall,44,2.75,107,63,65.4,1,3,12,0,0,7,7,0,0,0,Matches
Emiliano Martínez\Emiliano-Martinez,3,1.5,8,5,75,1,0,1,1,50,1,1,0,0,0,Matches
Simon Mignolet\Simon-Mignolet,30,1.07,82,52,65.9,16,7,5,9,32.1,4,2,2,0,50,Matches
Kristoffer Nordfeldt\Kristoffer-Nordfeldt,1,1,5,4,80,1,0,0,0,0,0,0,0,0,,Matches
David Ospina\David-Ospina,4,2.52,9,5,55.6,0,1,1,0,0,0,0,0,0,,Matches
Costel Pantilimon\Costel-Pantilimon,4,4.34,10,6,60,0,0,1,0,,0,0,0,0,,Matches
Jordan Pickford\Jordan-Pickford,50,1.72,189,139,74.6,5,4,20,4,13.8,2,2,0,0,0,Matches
Darren Randolph\Darren-Randolph,39,1.77,104,65,65.4,7,5,10,4,18.2,5,3,1,1,25,Matches
Paul Robinson\Paul-Robinson,7,2.33,19,12,63.2,0,0,3,0,0,0,0,0,0,,Matches
Joel Robles\Joel-Robles,20,1.04,80,60,77.5,12,4,3,10,52.6,2,2,0,0,0,Matches
Sergio Romero\Sergio-Romero,0,0,10,10,100,1,1,0,2,100,1,0,1,0,100,Matches
Kasper Schmeichel\Kasper-Schmeichel,47,1.59,157,110,72,10,7,13,8,26.7,3,3,0,0,0,Matches
Maarten Stekelenburg\Maarten-Stekelenburg,24,1.28,68,44,66.2,5,6,8,3,15.8,3,1,1,1,50,Matches
Víctor Valdés\Victor-Valdes,36,1.29,118,82,72,3,10,15,8,28.6,3,3,0,0,0,Matches
Michel Vorm\Michel-Vorm,2,0.43,9,7,88.9,2,3,0,2,50,1,1,0,0,0,Matches
Ron-Robert Zieler\Ron-Robert-Zieler,16,1.91,33,17,51.5,2,1,5,1,12.5,0,0,0,0,,Matches
